epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.11834,3.22519,4.01879,1.80948,0.00107,0.0125,0.0006,0.00018,3.3574,3.78874,2.12348,1.667e-05,1.667e-05,1.667e-05
2,2.03706,3.20092,3.97743,1.92606,0.00161,0.01875,0.00085,0.00023,3.29828,3.79056,2.07167,4.9845e-05,4.9845e-05,4.9845e-05
3,2.61109,3.04324,3.97632,1.96759,0.00325,0.0375,0.00175,0.00043,3.18361,3.77,1.99796,8.27999e-05,8.27999e-05,8.27999e-05
4,3.12988,2.75043,3.75591,1.60476,0.01058,0.125,0.00662,0.00188,2.79782,3.71321,1.75526,0.000115535,0.000115535,0.000115535
5,3.65224,2.58251,3.64355,1.54717,0.01285,0.15,0.01571,0.00409,2.58323,3.68307,1.6288,0.00014805,0.00014805,0.00014805
6,4.15196,2.42392,3.40531,1.45444,0.00948,0.10625,0.00936,0.00254,2.43044,3.63542,1.52074,0.000180344,0.000180344,0.000180344
7,4.65789,2.38366,3.04872,1.35895,0.0034,0.0375,0.00553,0.00121,2.29668,3.54633,1.41239,0.000212419,0.000212419,0.000212419
8,5.16253,2.24663,2.57524,1.37572,0.01262,0.14375,0.02319,0.00655,2.1485,3.45045,1.32816,0.000244274,0.000244274,0.000244274
9,5.67299,2.4741,2.24335,1.31052,0.02414,0.28125,0.03574,0.01296,2.21748,3.34248,1.31047,0.000275909,0.000275909,0.000275909
10,6.16708,2.33528,1.87301,1.294,0.03062,0.38125,0.11667,0.04986,2.24171,3.21288,1.33665,0.000307323,0.000307323,0.000307323
11,6.67307,2.16743,1.60451,1.20329,0.02938,0.375,0.21919,0.07483,2.32948,3.09969,1.39488,0.000338518,0.000338518,0.000338518
12,7.14425,2.12567,1.68584,1.27503,0.02938,0.375,0.21919,0.07483,2.32948,3.09969,1.39488,0.000369492,0.000369492,0.000369492
13,7.64388,2.25472,1.83127,1.2724,0.02901,0.375,0.29421,0.09478,2.31851,2.98958,1.41409,0.000400247,0.000400247,0.000400247
14,8.13392,2.2245,1.63537,1.24352,0.02849,0.375,0.29763,0.11271,2.18299,2.92224,1.36945,0.000430781,0.000430781,0.000430781
15,8.62231,2.14942,1.66148,1.24674,0.02849,0.375,0.29763,0.11271,2.18299,2.92224,1.36945,0.000461096,0.000461096,0.000461096
16,9.10796,2.1581,1.5239,1.24738,0.02913,0.375,0.31457,0.12119,2.02755,2.9081,1.33209,0.00049119,0.00049119,0.00049119
